Item 1,低度酒
Item 98,鱼丝
Item 99,海苔类
Item 100,果冻
Item 101,布丁
Item 102,薯片
Item 103,虾片
Item 104,米饼
Item 105,调和油
Item 106,花生油
Item 107,色拉油
Item 108,粟米油
Item 109,橄榄油
Item 110,国产大米
Item 111,进口大米
Item 112,豆类（袋装）
Item 113,其它杂粮（袋装）
Item 114,面粉（袋装）
Item 115,营养挂面
Item 116,家常挂面
Item 117,米粉
Item 118,河粉
Item 119,袋装方便面
Item 120,碗装方便面
Item 121,袋装方便米河粉
Item 122,碗装方便米河粉
Item 123,水果类
Item 124,鱼类罐头
Item 125,肉类罐头
Item 126,蔬菜罐头
Item 127,罐头汤
Item 128,八宝粥
Item 129,龟苓膏
Item 130,凉粉
Item 131,豆沙
Item 132,袋装酱菜
Item 133,瓶装酱菜
Item 134,辣椒酱
Item 135,番茄酱
Item 136,腐乳
Item 137,沙拉酱
Item 138,其它调拌酱
Item 139,火锅调料
Item 140,辣油
Item 141,葱油
Item 142,麻油
Item 143,生抽
Item 144,老抽
Item 145,美味汁
Item 146,白醋
Item 147,陈醋
Item 148,甜醋
Item 149,料酒
Item 150,卤水
Item 151,蚝油
Item 152,烧烤汁
Item 153,味精
Item 154,鸡精
Item 155,煎炸料
Item 156,香料
Item 157,食用盐
Item 158,糖及替代品
Item 159,生粉
Item 160,其它烹调料
Item 161,木耳
Item 162,香菇
Item 163,笋干
Item 164,海带
Item 165,紫菜
Item 166,桂圆
Item 167,荔枝
Item 168,枣类
Item 169,散装糖
Item 170,汤料
Item 171,杂什礼盒
Item 172,粉丝类
Item 173,腐竹
Item 174,国产月饼
Item 175,进口月饼
Item 176,食品礼篮
Item 177,水果礼篮
Item 178,火腿
Item 179,香肠
Item 180,生豆制品
Item 181,熟豆制品
Item 182,保鲜面食
Item 183,保鲜包点
Item 184,奶酪
Item 185,奶油植物油
Item 186,牛奶
Item 187,泡菜
Item 188,酱羹
Item 189,冷藏果汁
Item 190,猪肉
Item 191,牛肉
Item 192,羊肉
Item 193,海鲜
Item 194,河鲜
Item 195,汤圆散装
Item 196,水饺
Item 197,馄饨
Item 198,包子
Item 199,馒头
Item 200,粽子
Item 201,火锅丸袋装
Item 202,春卷春卷皮
Item 203,炸薯条
Item 204,蔬菜
Item 205,家庭装雪糕
Item 206,冰淇淋
Item 207,甜筒
Item 208,雪条
Item 209,散装干菜
Item 210,散装薯粉
Item 211,散干果
Item 212,散装菇类
Item 213,散装豆类
Item 214,散装面
Item 215,散装米
Item 216,散装粉
Item 217,散红糖
Item 218,散白糖
Item 219,散冰糖
Item 220,散片糖
Item 221,散香料
Item 222,散装海味
Item 223,广式腊味
Item 224,川式腊味
Item 225,巧克力
Item 226,各种炒果仁
Item 227,果脯
Item 228,鱼片鱼松
Item 229,海苔
Item 230,干肉肉松
Item 231,普通洗衣粉
Item 232,浓缩洗衣粉
Item 233,洗衣皂
Item 234,洗衣液
Item 235,衣领净
Item 236,柔顺剂
Item 237,羊毛丝绸洗涤
Item 238,洗洁精
Item 239,消毒液
Item 240,漂白剂
Item 241,去污剂
Item 242,厨房清洁用品
Item 243,玻璃清洁用品
Item 244,浴厕清洁用品
Item 245,地板清洁用品
Item 246,洁瓷剂
Item 247,通厕剂
Item 248,全能清洁剂
Item 249,金属光亮剂
Item 250,皮革上光剂
Item 251,皮鞋上光剂
Item 252,地板蜡
Item 253,家具上光打蜡剂
Item 254,清新剂
Item 255,干燥剂
Item 256,喷雾杀虫剂
Item 257,电蚊香片
Item 258,盘蚊香
Item 259,润肤霜
Item 260,滋润露
Item 261,防晒露
Item 262,护手霜
Item 263,爽肤水
Item 264,洗面奶
Item 265,洗发水
Item 266,护发素
Item 267,摩丝
Item 268,嗜喱水膏
Item 269,沐浴露
Item 270,花露水
Item 271,香皂
Item 272,洗手液
Item 273,成人牙膏
Item 274,儿童牙膏
Item 275,漱口水
Item 276,成人牙刷
Item 277,儿童牙刷
Item 278,剃须刀架
Item 279,刀片
Item 280,须刨
Item 281,普通卫生巾
Item 282,护垫
Item 283,男用
Item 284,女用
Item 285,妇女洗液
Item 286,消毒水
Item 287,湿纸巾
Item 288,餐巾纸
Item 289,盒装面巾纸
Item 290,手帕纸
Item 291,卷纸
Item 292,厕纸
Item 293,护肤品
Item 294,洗发品
Item 295,爽身粉
Item 296,奶瓶
Item 297,奶嘴
Item 298,尿片
Item 299,纸尿布
Item 300,纸尿裤
Item 301,口腔护理
Item 302,宝宝鞋袜
Item 303,口水肩
Item 304,哈衣
Item 305,塑料杯
Item 306,玻璃杯
Item 307,陶瓷杯
Item 308,磁化杯
Item 309,不锈金钢杯
Item 310,热水壶
Item 311,保温瓶
Item 312,冷水瓶
Item 313,套装杯壶具
Item 314,烟缸
Item 315,桌布台布
Item 316,杯垫餐垫
Item 317,纸巾筒
Item 318,果盘
Item 319,茶盘托盘杯架
Item 320,牙签牙签筒
Item 321,花瓶
Item 322,收纳筒箱
Item 323,地毯地垫
Item 324,纸篓
Item 325,鞋架
Item 326,杂物架
Item 327,塑料椅
Item 328,窗帘及配件
Item 329,装饰用品配件
Item 330,挂钩挂物架
Item 331,高压锅
Item 332,炒锅
Item 333,煎锅煎盘
Item 334,蒸锅
Item 335,汤锅
Item 336,奶锅
Item 337,边炉锅
Item 338,土煲砂锅
Item 339,其它烹饪用品
Item 340,保鲜膜锡纸
Item 341,保鲜袋密实袋
Item 342,保鲜盒密实盒
Item 343,刀套刀组
Item 344,砧板
Item 345,锅铲
Item 346,锅盖
Item 347,锅垫
Item 348,饭勺汤勺
Item 349,漏勺罩篱
Item 350,蒸架
Item 351,调味盒
Item 352,调味瓶调味壶
Item 353,油壶
Item 354,储筷具
Item 355,储碗具储碟具
Item 356,米桶
Item 357,洗菜篮
Item 358,百洁布清洁球
Item 359,冰格冰模
Item 360,手动榨汁器
Item 361,开瓶器封瓶器
Item 362,水果刀
Item 363,刨刀类
Item 364,取物夹
Item 365,剪刀小刀
Item 366,其它厨房用品
Item 367,陶瓷碗
Item 368,陶瓷盘碟
Item 369,玻璃餐具
Item 370,木制餐具
Item 371,不锈钢餐具
Item 372,西式餐具
Item 373,味碟
Item 374,套装餐具
Item 375,饭盒
Item 376,筷子
Item 377,餐叉
Item 378,木衣架
Item 379,塑料衣架
Item 380,晾衣杆晾衣绳
Item 381,水桶清洁桶
Item 382,扫帚
Item 383,拖把
Item 384,刷子
Item 385,铲子
Item 386,垃圾筒
Item 387,垃圾袋
Item 388,手套
Item 389,围裙
Item 390,脸盆
Item 391,牙刷具
Item 392,镜子梳子
Item 393,浴帘浴帐
Item 394,浴帘杆
Item 395,浴块浴巾（包括毛巾）
Item 396,浴帽
Item 397,卫生纸架
Item 398,皂盒皂架
Item 399,花盆
Item 400,喷水枪壶
Item 401,花肥
Item 402,宠物用品
Item 403,宠物食品
Item 404,一次性杯碟碗
Item 405,烧烤炉
Item 406,烧烤碳
Item 407,烧烤叉
Item 408,内裤
Item 409,背心
Item 410,睡衣
Item 411,文胸
Item 412,束腹裤
Item 413,丝袜
Item 414,棉袜
Item 415,长统袜
Item 416,连裤袜
Item 417,儿童
Item 418,染色
Item 419,印花
Item 420,提花
Item 421,色织
Item 422,割绒
Item 423,提华
Item 424,童巾
Item 425,被子
Item 426,枕头枕心
Item 427,凉席
Item 428,蚊帐
Item 429,成人塑料拖鞋
Item 430,成人布拖
Item 431,成人棉拖
Item 432,成人长绒拖
Item 433,儿童塑料拖鞋
Item 434,儿童布拖
Item 435,儿童棉拖
Item 436,儿童长绒拖
Item 437,鞋垫
Item 438,长柄自动伞
Item 439,长柄手动伞
Item 440,自行车雨披
Item 441,摩托车雨披
Item 442,摩托车雨衣
Item 443,儿童雨披
Item 444,儿童雨衣
